-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:04:50                       -
-----------------------------------------------------------------------------
	Shoulder Position: 130.0		Elbow Position: 180.0
-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:05:28                       -
-----------------------------------------------------------------------------
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
	Shoulder Position: 149.9104		Elbow Position: 165.4272
